URL,Date,Type d'URL,Type d'acteurs,Thème,Position,Poids,Lu,Position/IVG,Notes
https://www.youtube.com/watch?v=_8hKphSFAiY,23/02/2017,Youtube,Média,Désinformation,Pour l'extension du délit d'entrave,Moyen,Oui,Pour,
https://www.youtube.com/watch?v=WSOiirW8MBA,17/02/2017,Youtube,Association,Alternatives à l'IVG,Contre l'extension du délit d'entrave,Fort,Oui,Contre,Dépôt d'une requete par Alliance Vita
https://www.youtube.com/watch?v=n8lEjdXv8ko,12/10/2016,Youtube,Militante féministe,Droit à l'IVG,Pour l'extension du délit d'entrave,Faible,Oui,Pour,
http://www.la-croix.com/France/Justice/Pas-daccord-delit-dentrave-numerique-lIVG-2017-01-24-1200819745,24/01/2017,Article,Instance politique,Vote,Contre l'extension du délit d'entrave,Fort,Oui,Pour,
https://ivg.net/droits-des-femmes/anti-constitutionnalite-du-delit-dentrave-a-livg,NA,Article,Association,Juridiction,Contre l'extension du délit d'entrave,Fort,Oui,Contre,
http://www.madmoizelle.com/delit-entrave-ivg-adopte-lettre-deputes-677769,16/02/2017,Article,Militante féministe,Droit à l'IVG,Pour l'extension du délit d'entrave,Fort,Oui,Pour,
http://libertescheries.blogspot.fr/2017/03/delit-dentrave-livg-les-reserves-du.html,19/03/2017,Article,Blog,Liberté d'expression,Contre l'extension du délit d'entrave,Faible,Non,Pour,
https://twitter.com/coldroitsfemmes/status/804388498564415490,01/12/2016,Tweet,Association,Droit à l'IVG,Pour l'extension du délit d'entrave,Moyen,Oui,Pour,
http://www.terrafemina.com/article/delit-d-entrave-a-l-ivg-12-hommes-pour-parler-de-l-uterus-des-femmes_a326758/1,27/12/2017,Article,Association,Droit à l'IVG,Pour l'extension du délit d'entrave,Fort,Oui,Pour,Dénoncer l'absence de femmes à l'assemblée lors du débat
http://www.lexpress.fr/actualite/societe/risques-farfelus-et-discours-culpabilisant-j-ai-teste-la-desinformation-d-ivg-net_1855739.html,01/12/2016,Article,Média,Désinformation,Pour l'extension du délit d'entrave,Fort,Oui,Pour,Enquete sur les numéros verts
https://twitter.com/EveAnnePE/status/804362209270710273,01/12/2016,Tweet,Média,Désinformation,Pour l'extension du délit d'entrave,Fort,Oui,Pour,
https://twitter.com/Genethique/status/804351555059249152,01/12/2016,Tweet,Particulier,Infantilisation des femmes,Contre l'extension du délit d'entrave,Moyen,Oui,Contre,
https://twitter.com/chdemeyer/status/804344409710100484,01/12/2016,Tweet,Instance politique,Droit à l'IVG,Contre l'extension du délit d'entrave,Moyen,Oui,Contre,
https://twitter.com/chatoncolere/status/804338532701655041,01/12/2016,Tweet,Particulier,Droit à l'IVG,Contre l'extension du délit d'entrave,Faible,Oui,Pour,
https://twitter.com/alexandra5688/status/803974878944776192,30/11/2016,Tweet,Particulier,Désinformation,Pour l'extension du délit d'entrave,Faible,Oui,Pour,
https://twitter.com/UnHommedeGauche/status/786572031013756929,13/10/2016,Tweet,Particulier,Désinformation,Pour l'extension du délit d'entrave,Faible,Oui,Pour,
https://twitter.com/DanielBrobecker/status/804317158767468544,01/12/2016,Tweet,Particulier,Droit à l'IVG,Pour l'extension du délit d'entrave,Faible,Oui,Pour,
